,log_file,log_id,meg_file,subject,task
137,sourcedata/meg_task/A2040-4-MEG-MOUS-Aud.log,4,sub-A2040/meg/sub-A2040_task-auditory_meg.ds,2040,auditory
138,sourcedata/meg_task/A2041-5-MEG-MOUS-Aud.log,5,sub-A2041/meg/sub-A2041_task-auditory_meg.ds,2041,auditory
139,sourcedata/meg_task/A2042-6-MEG-MOUS-Aud.log,6,sub-A2042/meg/sub-A2042_task-auditory_meg.ds,2042,auditory
140,sourcedata/meg_task/A2046-4-MEG-MOUS-Aud.log,4,sub-A2046/meg/sub-A2046_task-auditory_meg.ds,2046,auditory
141,sourcedata/meg_task/A2047-5-MEG-MOUS-Aud.log,5,sub-A2047/meg/sub-A2047_task-auditory_meg.ds,2047,auditory
142,sourcedata/meg_task/A2049-1-MEG-MOUS-Aud.log,1,sub-A2049/meg/sub-A2049_task-auditory_meg.ds,2049,auditory
143,sourcedata/meg_task/A2050-2-MEG-MOUS-Aud.log,2,sub-A2050/meg/sub-A2050_task-auditory_meg.ds,2050,auditory
144,sourcedata/meg_task/A2051-5-MEG-MOUS-Aud.log,5,sub-A2051/meg/sub-A2051_task-auditory_meg.ds,2051,auditory
145,sourcedata/meg_task/A2052-4-MEG-MOUS-Aud.log,4,sub-A2052/meg/sub-A2052_task-auditory_meg.ds,2052,auditory
146,sourcedata/meg_task/A2053-5-MEG-MOUS-Aud.log,5,sub-A2053/meg/sub-A2053_task-auditory_meg.ds,2053,auditory
147,sourcedata/meg_task/A2055-1-MEG-MOUS-Aud.log,1,sub-A2055/meg/sub-A2055_task-auditory_meg.ds,2055,auditory
148,sourcedata/meg_task/A2056-2-MEG-MOUS-Aud.log,2,sub-A2056/meg/sub-A2056_task-auditory_meg.ds,2056,auditory
149,sourcedata/meg_task/A2057-3-MEG-MOUS-Aud.log,3,sub-A2057/meg/sub-A2057_task-auditory_meg.ds,2057,auditory
150,sourcedata/meg_task/A2058-4-MEG-MOUS-Aud1.log,4,sub-A2058/meg/sub-A2058_task-auditory_meg.ds,2058,auditory
151,sourcedata/meg_task/A2059-5-MEG-MOUS-Aud.log,5,sub-A2059/meg/sub-A2059_task-auditory_meg.ds,2059,auditory
152,sourcedata/meg_task/A2061-1-MEG-MOUS-Aud.log,1,sub-A2061/meg/sub-A2061_task-auditory_meg.ds,2061,auditory
